,Cleaned_Text,vader,compound,Vader_Sentiment_Type
4137,several local have opposition to ideology it no effect on the law it is just a political manifesto and they are not about people they are about,"{'neg': 0.062, 'neu': 0.937, 'pos': 0.0, 'compound': -0.296}",-0.296,NEGATIVE
4138,sickening that the turned into a celebration of,"{'neg': 0.254, 'neu': 0.746, 'pos': 0.0, 'compound': -0.5267}",-0.5267,NEGATIVE
4139,and still plus people vote conservative 🤦🏼‍♂️🤷🏼‍♂️,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
4140,the likelihood for it to be via sex is very high it is not an isolated case m2m transmission is very likely since most are engaging in multiple sex partner the context is statistics not in canada plus is top priority for vaccine is that too,"{'neg': 0.0, 'neu': 0.875, 'pos': 0.125, 'compound': 0.6641}",0.6641,POSITIVE
4141,tangle and whisper are plus,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
4142,channel 5 are trying to comfort me by making its replacement not until i see everyone in summer bay the way we were all included in can not remember a black or family ever moving to the bay its 20-and fcking-22,"{'neg': 0.0, 'neu': 0.94, 'pos': 0.06, 'compound': 0.3612}",0.3612,POSITIVE
4143,hello- q community,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
4144,the likelihood for it to be via sex is very high it is not an isolated case m2m transmission is very likely since most are engaging in multiple sex partner the context is statistics not in canada plus is top priority for vaccine is that too,"{'neg': 0.0, 'neu': 0.875, 'pos': 0.125, 'compound': 0.6641}",0.6641,POSITIVE
4145,michigan supreme court discrimination barred under law bridge michigan,"{'neg': 0.0, 'neu': 0.735, 'pos': 0.265, 'compound': 0.5574}",0.5574,POSITIVE
4146,this people are living in cuckoo land,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
4147,the likelihood for it to be via sex is very high it is not an isolated case m2m transmission is very likely since most are engaging in multiple sex partner the context is statistics not in canada plus is top priority for vaccine is that too,"{'neg': 0.0, 'neu': 0.875, 'pos': 0.125, 'compound': 0.6641}",0.6641,POSITIVE
4148,stigma from gay plague in 1980s to can world do,"{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.25}",0.25,POSITIVE
4149,for half of all audit dip ey in big debt,"{'neg': 0.135, 'neu': 0.865, 'pos': 0.0, 'compound': -0.3612}",-0.3612,NEGATIVE
4150,lawmaker from to behead family of lawyer,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
4151,community excruciating – and its stigma the insight,"{'neg': 0.383, 'neu': 0.617, 'pos': 0.0, 'compound': -0.7351}",-0.7351,NEGATIVE
4152,sue for right to deny free lunch the new republic,"{'neg': 0.136, 'neu': 0.678, 'pos': 0.186, 'compound': 0.2263}",0.2263,POSITIVE
4153,to possibly ban from drag press,"{'neg': 0.407, 'neu': 0.593, 'pos': 0.0, 'compound': -0.6705}",-0.6705,NEGATIVE
4154,say renaissance was made with the community in mind - the echo,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
4155,today in a roundup of the latest news on,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
4156,incident 22-yr-old to death from hotel at queer party,"{'neg': 0.234, 'neu': 0.615, 'pos': 0.151, 'compound': -0.3595}",-0.3595,NEGATIVE
4157,say renaissance was made with the community in mind times,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
4158,say renaissance was made with the community in mind,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
4159,say renaissance was made with the community in mind,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
4160,22 sue for tying school lunch to compliance with ideology,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
4161,fashion week-like event in solo but not for - tempo,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
4162,to do not follow federal -,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
4163,government commonwealth s soft power to push member to -,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
4164,diversity push openly judge for ca s eastern district,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
4165,spread by gay sex -,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
4166,un torture committee record but key - un watch,"{'neg': 0.274, 'neu': 0.726, 'pos': 0.0, 'compound': -0.4854}",-0.4854,NEGATIVE
4167,the likelihood for it to be via sex is very high it is not an isolated case m2m transmission is very likely since most are engaging in multiple sex partner the context is statistics not in canada plus is top priority for vaccine is that too,"{'neg': 0.0, 'neu': 0.875, 'pos': 0.125, 'compound': 0.6641}",0.6641,POSITIVE
4168,the shrine had against it and now been into its recognition of service personnel what is next on your cancel culture agenda indigenous and service personnel cancel culture is a cancer and your support it,"{'neg': 0.234, 'neu': 0.647, 'pos': 0.119, 'compound': -0.6597}",-0.6597,NEGATIVE
4169,hello community,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
4170,i am spreading the agenda onto horror game,"{'neg': 0.316, 'neu': 0.684, 'pos': 0.0, 'compound': -0.5719}",-0.5719,NEGATIVE
4171,ask to follow if you are i am not because i like but when its i get a little uncomfy,"{'neg': 0.0, 'neu': 0.908, 'pos': 0.092, 'compound': 0.3257}",0.3257,POSITIVE
4172,change the course of history or your narrow understanding of it the acronym might be a more recent development but those people then just as they do now and they their country despite the kind of bigotry you would seek to preserve,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
4173,us the death penalty plenty of anti but,"{'neg': 0.35, 'neu': 0.516, 'pos': 0.135, 'compound': -0.4118}",-0.4118,NEGATIVE
4174,i say this all the time but i truly believe that they want to turn the us into from where have no are hung on the wall probably bring back burning of along with book burning as a pagan who is outspoken i would be in in 10 sec,"{'neg': 0.063, 'neu': 0.835, 'pos': 0.103, 'compound': 0.3612}",0.3612,POSITIVE
4175,it does not matter how or inauthentic ’ s being here every bit of rhetoric that up a hostile atmosphere against all people,"{'neg': 0.09, 'neu': 0.799, 'pos': 0.111, 'compound': -0.1027}",-0.1027,NEGATIVE
4176,plus it to me that-currently- anti-marxists trump in like 90 1 there is some in theory but non-marxist liberalism is a much ideological and political component to it for most of them 2 3,"{'neg': 0.0, 'neu': 0.883, 'pos': 0.117, 'compound': 0.631}",0.631,POSITIVE
4177,kudos to the shrine for the of and defence force personnel boo to those whose only the need for this important work,"{'neg': 0.0, 'neu': 0.716, 'pos': 0.284, 'compound': 0.8176}",0.8176,POSITIVE
4178,the are always looking for to bash the they see the one modicum of respect we have as a privilege they have the right to remove whenever they deem fit they would happily kill all the plus community if it meant they felt more secure,"{'neg': 0.078, 'neu': 0.682, 'pos': 0.24, 'compound': 0.8268}",0.8268,POSITIVE
4179,what me is a minority is opening discriminatory in the of winning far right but any idiot that you can not control hatred once you allow it to spread just because it with the plus community does not mean it will stop there,"{'neg': 0.122, 'neu': 0.708, 'pos': 0.17, 'compound': 0.2148}",0.2148,POSITIVE
4180,how is that on someone if anything group does not impose anything on anyone you born a male and want to identify as female go ahead you do not want to be either you do you you want to identify as a bit odd but hey as long as you are happy,"{'neg': 0.068, 'neu': 0.78, 'pos': 0.152, 'compound': 0.708}",0.708,POSITIVE
4181,let us stop watering down to just mere fiction people r being facing so many other of discrimination if you are you are supporting those,"{'neg': 0.369, 'neu': 0.571, 'pos': 0.059, 'compound': -0.9451}",-0.9451,NEGATIVE
4182,are a intent on and bullying everyone into their extortion leave us alone,"{'neg': 0.321, 'neu': 0.679, 'pos': 0.0, 'compound': -0.7269}",-0.7269,NEGATIVE
4183,good the bias and focus on was fully on display on commonwealth their focus was diversity inclusion and plus when 2 3rds of the oppose same sex majority in do not feature in thinking close down now,"{'neg': 0.028, 'neu': 0.913, 'pos': 0.059, 'compound': 0.3612}",0.3612,POSITIVE
4184,you are at the not wearing a 🌈 you falsely claim religious want to allow them to discriminate against i would like proof of your,"{'neg': 0.099, 'neu': 0.739, 'pos': 0.162, 'compound': 0.0516}",0.0516,POSITIVE
4185,you may check out my love on $ $ sol via,"{'neg': 0.0, 'neu': 0.704, 'pos': 0.296, 'compound': 0.6369}",0.6369,POSITIVE
4186,its because like gay twitter the support their allies despite the science common sense fa and they play against other fa or against on the but the fa are not under the delusion that they are,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.765}",0.765,POSITIVE
4187,top surgery in russia there is a law against plus,"{'neg': 0.239, 'neu': 0.634, 'pos': 0.127, 'compound': -0.3818}",-0.3818,NEGATIVE
4188,are you in today if you do go you might just see some of our staff about aswell march at 12pm at st near lime st station and down at the pierhead have fun 🏳️‍🌈,"{'neg': 0.0, 'neu': 0.924, 'pos': 0.076, 'compound': 0.5106}",0.5106,POSITIVE
4189,i agree with everyone you to rethink this ai is otherwise a plus positive series so non-gendered would not be to as they are already used to plus like pewter and please listen to us and improve this next time,"{'neg': 0.0, 'neu': 0.715, 'pos': 0.285, 'compound': 0.9323}",0.9323,POSITIVE
4190,yes molestation but is it a problem like you frame it to be,"{'neg': 0.255, 'neu': 0.509, 'pos': 0.236, 'compound': -0.1027}",-0.1027,NEGATIVE
4191,it me back to the glamour of the 50s when times were simple wholesome and not degenerate there was no agenda no gun and knife violence no in the middle of the street just people trying to make a buck,"{'neg': 0.158, 'neu': 0.742, 'pos': 0.101, 'compound': -0.4703}",-0.4703,NEGATIVE
4192,and how many of them are gay are all against it but elsewhere fa and they play against other fa or against on the but the fa are not under the delusion that they are,"{'neg': 0.0, 'neu': 0.931, 'pos': 0.069, 'compound': 0.4767}",0.4767,POSITIVE
4193,just was the executive order 44 which very few non-mormons know accept them are some of the normal people [ should be catholic ] but this is acceptance add up see it at the,"{'neg': 0.0, 'neu': 0.816, 'pos': 0.184, 'compound': 0.8316}",0.8316,POSITIVE
4194,when you are you keep it with you and each and every human a so let the their body and do not talk like ignorant that you does not know what is wrong what is right its own and,"{'neg': 0.102, 'neu': 0.862, 'pos': 0.036, 'compound': -0.5261}",-0.5261,NEGATIVE
4195,this is what do it is all about the £££ for them and the way they directly distract you from your bank account and theirs is by a culture war the real issue is the real issue is woke no it is the class division in,"{'neg': 0.163, 'neu': 0.799, 'pos': 0.038, 'compound': -0.802}",-0.802,NEGATIVE
4196,you are saying the religious to pass a law them to discriminate against can you show me where that is because you know it is not true why be so dishonest in your,"{'neg': 0.172, 'neu': 0.828, 'pos': 0.0, 'compound': -0.7949}",-0.7949,NEGATIVE
4197,us protest s from have been trying for mo s to remove gender queer by from the school pornographic,"{'neg': 0.071, 'neu': 0.929, 'pos': 0.0, 'compound': -0.25}",-0.25,NEGATIVE
4198,this scene my life and it successfully the chip in my brain the first slay known to rob,"{'neg': 0.14, 'neu': 0.736, 'pos': 0.124, 'compound': -0.1027}",-0.1027,NEGATIVE
4199,engineer stem ambassador campaigner for higher education access for and fighter for plus in s is awe-inspiring out what one person to do so much on our,"{'neg': 0.0, 'neu': 0.952, 'pos': 0.048, 'compound': 0.1531}",0.1531,POSITIVE
4200,are responsible for the plus community,"{'neg': 0.0, 'neu': 0.753, 'pos': 0.247, 'compound': 0.3182}",0.3182,POSITIVE
4201,the sandman i have somehow lost over the and now when i worked in a bookshop and a new employee was where are the she the customer to the section their bemused correction led her to reading,"{'neg': 0.049, 'neu': 0.951, 'pos': 0.0, 'compound': -0.3182}",-0.3182,NEGATIVE
4202,great 🧵 by mental health provision in berlin is abysmal especially if you have any kind of specific need e g not being a fluent german speaker or wanting support with,"{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.7783}",0.7783,POSITIVE
4203,come on you know it is all under attack unless you are part of the,"{'neg': 0.162, 'neu': 0.838, 'pos': 0.0, 'compound': -0.4767}",-0.4767,NEGATIVE
4204,while i do understand statistics your original statement did not provide any proof but merely another stigma towards the plus community speculative dating😀,"{'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.7906}",0.7906,POSITIVE
4205,no man they do not like a so please stop and by the way,"{'neg': 0.387, 'neu': 0.476, 'pos': 0.137, 'compound': -0.4956}",-0.4956,NEGATIVE
4206,i do not understand why we are being picked on what are they so afraid of and 🏳️‍🌈🏳️‍⚧️,"{'neg': 0.0, 'neu': 0.871, 'pos': 0.129, 'compound': 0.4767}",0.4767,POSITIVE
4207,today is 🏳️‍🌈 pride is all about being of who you are no matter who you love join the in today 🌈🌟🥳,"{'neg': 0.03, 'neu': 0.733, 'pos': 0.237, 'compound': 0.8083}",0.8083,POSITIVE
4208,no because as i said you can reclaim it for yourself if you want just not for the whole plus community and if you do that it is no longer reclamation you are literally just calling people a slur and you can not be if when you face for doing so,"{'neg': 0.112, 'neu': 0.865, 'pos': 0.024, 'compound': -0.5812}",-0.5812,NEGATIVE
4209,so you think in entertainment media plus can not exist,"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.4215}",0.4215,POSITIVE
4210,but anti in is fake,"{'neg': 0.542, 'neu': 0.458, 'pos': 0.0, 'compound': -0.7964}",-0.7964,NEGATIVE
4211,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
4212,the queer urge to shave all my hair off or just simply dye it a new color,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
4213,you are,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
4214,are not nobody want,"{'neg': 0.234, 'neu': 0.766, 'pos': 0.0, 'compound': -0.0572}",-0.0572,NEGATIVE
4215,must study my and paranormal for the show next week do not miss out i also run a pagan organization that 5 military pagan overseas and stateside so busy busy times especially with to and military,"{'neg': 0.063, 'neu': 0.814, 'pos': 0.123, 'compound': 0.2419}",0.2419,POSITIVE
4216,michigan supreme court discrimination barred under law bridge michigan,"{'neg': 0.0, 'neu': 0.735, 'pos': 0.265, 'compound': 0.5574}",0.5574,POSITIVE
4217,for public and private to quit stonewall police and range of face pressure after tribunal victory of bailey who expose charity s controversial at heart of,"{'neg': 0.137, 'neu': 0.76, 'pos': 0.103, 'compound': 0.1531}",0.1531,POSITIVE
4218,went from walking the countryside and city in to in a dark room at 12 am listening to that is the dream baby,"{'neg': 0.0, 'neu': 0.929, 'pos': 0.071, 'compound': 0.25}",0.25,POSITIVE
4219,wrong you better go look it up there are already against discrimination once again you go off topic when for religious people are to support or not support what they like so are,"{'neg': 0.138, 'neu': 0.654, 'pos': 0.208, 'compound': 0.5334}",0.5334,POSITIVE
4220,how sickening that people about rainbow at the shrine after the mistreatment persecution invisibility of for it is the least that can be the shrine can fine by me but not who serve up,"{'neg': 0.087, 'neu': 0.838, 'pos': 0.075, 'compound': -0.1511}",-0.1511,NEGATIVE
4221,abuse and are wrong now as to the substance should the last post be at the next gay pride parade it is not an insult to that there is no rainbow at the shrine any more than it is an insult to there is no star of let each event be what it is,"{'neg': 0.253, 'neu': 0.64, 'pos': 0.107, 'compound': -0.8833}",-0.8833,NEGATIVE
4222,there are three confirmed in stranger you know what else three a tricycle and you know what a tricycle is a bike and you know what have and you know what also with bike mike yes mike wheeler is confirmed gay,"{'neg': 0.0, 'neu': 0.946, 'pos': 0.054, 'compound': 0.4019}",0.4019,POSITIVE
4223,so implicitly the abandonment of the rainbow lighting at the shrine of remembrance that does not surprise me in the least it that is not interested in plus who fought and in,"{'neg': 0.334, 'neu': 0.611, 'pos': 0.055, 'compound': -0.9216}",-0.9216,NEGATIVE
4224,wishing you all a wonderful pride day be safe supportive responsible ❤️ are our office today on 13 union st pop in for advice protection or if you have an concern 🌈,"{'neg': 0.0, 'neu': 0.661, 'pos': 0.339, 'compound': 0.9246}",0.9246,POSITIVE
4225,news18 stigma from gay plague in 1980s to can world do better now,"{'neg': 0.0, 'neu': 0.776, 'pos': 0.224, 'compound': 0.5994}",0.5994,POSITIVE
4226,child but is against this nonsense i know which group of i like it is nor the long live against the real movement,"{'neg': 0.086, 'neu': 0.772, 'pos': 0.142, 'compound': 0.3239}",0.3239,POSITIVE
4227,speaking of was not in favor of making our because still s when he a brewery because mommy and daddy have money,"{'neg': 0.07, 'neu': 0.93, 'pos': 0.0, 'compound': -0.3089}",-0.3089,NEGATIVE
4228,you like you are going to love plus premium gay pay only 14 99 to unlock other gay and more,"{'neg': 0.058, 'neu': 0.664, 'pos': 0.278, 'compound': 0.743}",0.743,POSITIVE
4229,🔆🔆🔆🔆🔆 very exciting stuff - review 🔆🔆🔆🔆🔆where there is a witch there is a way town book 2by e broom 🔆🔆🔆🔆🔆 prime paperback book 🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆 kindle unlimited 🔆🔆🔆🔆🔆,"{'neg': 0.017, 'neu': 0.35, 'pos': 0.633, 'compound': 0.9978}",0.9978,POSITIVE
4230,michigan supreme court included in prohibition on sex-based discrimination from -,"{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.5574}",0.5574,POSITIVE
4231,what 😭its about being in place of the,"{'neg': 0.388, 'neu': 0.612, 'pos': 0.0, 'compound': -0.8225}",-0.8225,NEGATIVE
4232,i feel like itself is not a dirty word but for someone it could be weird let me explain is a popular word people that are not or are not allies know this word they would not possibly know the word sapphic -,"{'neg': 0.038, 'neu': 0.788, 'pos': 0.174, 'compound': 0.7189}",0.7189,POSITIVE
4233,i have put my to move there on hold i would feel safe in salt lake if not for the chance of a state-level fascist as and an open critic of the church that maybe dangerous,"{'neg': 0.227, 'neu': 0.711, 'pos': 0.062, 'compound': -0.7677}",-0.7677,NEGATIVE
4234,- afterlove by,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
4235,people who the first then complain about being woke like yea is an ally that is not really anything new like the line in about then she goes on once again in it is so funny seeing panties in a twist over that,"{'neg': 0.041, 'neu': 0.779, 'pos': 0.181, 'compound': 0.8244}",0.8244,POSITIVE
4236,nawt you shutting up a member of the community,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
4237,just a single line about being friendly because so far i am not seeing that,"{'neg': 0.0, 'neu': 0.786, 'pos': 0.214, 'compound': 0.6219}",0.6219,POSITIVE
4238,if slavery is in every country in the world why can not discrimination against people be in every country in the world,"{'neg': 0.34, 'neu': 0.66, 'pos': 0.0, 'compound': -0.8957}",-0.8957,NEGATIVE
4239,gay twitter either backing full tilt or sitting on a painful fence in support of their allies is tiresome also female need to be polled on sexual orientation because nearly all that are part of the group are lo and behold in support of,"{'neg': 0.052, 'neu': 0.83, 'pos': 0.117, 'compound': 0.3818}",0.3818,POSITIVE
4240,some are me for cutting off a friend who said are all knowing i am queer and said he a civil war so we can fight of course said are free fur all,"{'neg': 0.155, 'neu': 0.62, 'pos': 0.225, 'compound': 0.577}",0.577,POSITIVE
4241,this is fake news which the are becoming expert in you are fostering a climate of hate against the community,"{'neg': 0.254, 'neu': 0.746, 'pos': 0.0, 'compound': -0.7783}",-0.7783,NEGATIVE
4242,as a newly starting teacher and a gay man hearing a potential use the phrase shield from inappropriate material and talking about plus people in the same breath of the homo of section 28 and it genuinely me,"{'neg': 0.062, 'neu': 0.938, 'pos': 0.0, 'compound': -0.4215}",-0.4215,NEGATIVE
4243,10-11am today out loud show with all about great music join us by click link to listen,"{'neg': 0.0, 'neu': 0.717, 'pos': 0.283, 'compound': 0.743}",0.743,POSITIVE
4244,happy day everyone we look forward to seeing you we will be on the march with our banner and we have a stall on come and say hi check out our new and fabulous,"{'neg': 0.041, 'neu': 0.797, 'pos': 0.162, 'compound': 0.743}",0.743,POSITIVE
4245,there is so many anti vaccine anti proudly being hung around 😬😬,"{'neg': 0.355, 'neu': 0.513, 'pos': 0.132, 'compound': -0.6222}",-0.6222,NEGATIVE
4246,why should it be lit up in,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
4247,it remains a black mark on the nation ’ s recent history one that from an astonishingly misguided push from some on the left to include in their support for,"{'neg': 0.0, 'neu': 0.92, 'pos': 0.08, 'compound': 0.4019}",0.4019,POSITIVE
4248,i am queer he this he people and can not wait for a civil war to fight people i owe him nothing,"{'neg': 0.236, 'neu': 0.764, 'pos': 0.0, 'compound': -0.7579}",-0.7579,NEGATIVE
4249,barbarity should be met head on the people should their in shame is being tormented by in the kremlin while our woke parliamentary over diversity and,"{'neg': 0.079, 'neu': 0.921, 'pos': 0.0, 'compound': -0.4767}",-0.4767,NEGATIVE
4250,so you are a gay guy as my thumb rule i never roll for i dislike their too much but since this is our first plus of i am willing to pull for him and give him a treatment of a prince with level 90 and all,"{'neg': 0.05, 'neu': 0.95, 'pos': 0.0, 'compound': -0.3818}",-0.3818,NEGATIVE
4251,i on a of hope telling to take off the badge and now all these little are to me like get over,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.6597}",0.6597,POSITIVE
4252,today it is an indigenous voice tomorrow it is an voice,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
4253,how many 🏳️‍⚧️ have been to join none as they would be stoned as per the of the,"{'neg': 0.0, 'neu': 0.913, 'pos': 0.087, 'compound': 0.296}",0.296,POSITIVE
4254,they are barking if they can not see how quickly in the become fully anti-lgbt plus us t s is code for all s but flying it under the radar they should be condemning truss s rhetoric and they are,"{'neg': 0.049, 'neu': 0.951, 'pos': 0.0, 'compound': -0.25}",-0.25,NEGATIVE
4255,conservative is a on one side they up all the same talking and ignore the fact that other do not think they should be to exist,"{'neg': 0.128, 'neu': 0.872, 'pos': 0.0, 'compound': -0.5267}",-0.5267,NEGATIVE
4256,no just the same as they are to wear the of they play in a regular game just the same as if anyone is to wear a uniform to go to work it is a supporting game and they do not support do not want to play it and have chosen not to,"{'neg': 0.092, 'neu': 0.819, 'pos': 0.089, 'compound': 0.1984}",0.1984,POSITIVE
4257,slay what you want to slay and let the slay and queen slay and slay the day of the make of way 😍💝🤪🤪,"{'neg': 0.0, 'neu': 0.798, 'pos': 0.202, 'compound': 0.8433}",0.8433,POSITIVE
4258,until i actually see him flirt and make out with a woman i will stay convinced that is,"{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.4019}",0.4019,POSITIVE
4259,therefore they would assume that this is coming from the plus community giving them more to hate,"{'neg': 0.177, 'neu': 0.715, 'pos': 0.107, 'compound': -0.3744}",-0.3744,NEGATIVE
4260,mornings are for me,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
4261,how about let experience a harmless afternoon with someone dressed up oh no the plus will make them gay you are the fake person of dress up and free expression who is so pathetic once again gammon,"{'neg': 0.158, 'neu': 0.726, 'pos': 0.117, 'compound': -0.4344}",-0.4344,NEGATIVE
4262,except supposedly back then it was not happening and now it actually is but it is not just i do not know why you all keep going there with that we are against all straight gay whatever,"{'neg': 0.0, 'neu': 0.934, 'pos': 0.066, 'compound': 0.3291}",0.3291,POSITIVE
4263,told me that he genuinely to you on twitter because of your disgusting ass on twitter people do not want to see your on demonic gore and,"{'neg': 0.259, 'neu': 0.618, 'pos': 0.124, 'compound': -0.7288}",-0.7288,NEGATIVE
4264,latest article from - i love to watch the kiss my best - please subscribe like and -,"{'neg': 0.0, 'neu': 0.515, 'pos': 0.485, 'compound': 0.9432}",0.9432,POSITIVE
4265,at st ’ s we aim to create an open inclusive environment for all belong to us all irrespective of race sexuality gender or religion as it is pride day we would like to extend our pride to all plus we stand with plus,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.8442}",0.8442,POSITIVE
4266,you to shut up,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
4267,do not take your hypothetical child to a restaurant then,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
4268,kelly abortion and discrimination against people but her campaign is on her economic record rather than social despite the current prominence of abortion politics in the state,"{'neg': 0.0, 'neu': 0.948, 'pos': 0.052, 'compound': 0.1901}",0.1901,POSITIVE
4269,thank you 4 the supporting the community dad can you call me by my actual name and use my actual now,"{'neg': 0.0, 'neu': 0.795, 'pos': 0.205, 'compound': 0.6597}",0.6597,POSITIVE
4270,the want to reintroduce section 28 if you are plus then are the enemy they hate plus people and this group is for self,"{'neg': 0.222, 'neu': 0.738, 'pos': 0.04, 'compound': -0.7845}",-0.7845,NEGATIVE
4271,just need ’ s journal to prove she is part of the community and the whole calamity trio is officially gay,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
4272,with the sexual orientation i like the idea but i made one of my and i can not find a single other that i do not have to go into to make like so my can finally get into a relationship the plus worked fine before the update help,"{'neg': 0.0, 'neu': 0.829, 'pos': 0.171, 'compound': 0.8674}",0.8674,POSITIVE
4273,are there any gay or being to join the tour,"{'neg': 0.0, 'neu': 0.855, 'pos': 0.145, 'compound': 0.296}",0.296,POSITIVE
4274,latest article from - - by -,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
4275,you think would be equal in what about people its totally insincere i do not doubt that life in the and is awful and they do deserve justice but the solution to it would still suck,"{'neg': 0.159, 'neu': 0.706, 'pos': 0.135, 'compound': -0.294}",-0.294,NEGATIVE
4276,i think 377a law is to remove each case is different anti people is does not mean you let 377a be gone other will happen next for sure,"{'neg': 0.0, 'neu': 0.866, 'pos': 0.134, 'compound': 0.5423}",0.5423,POSITIVE
4277,it is genuinely terrifying to be an plus person in the right now like i would this all this far right homo because the 150 000 people the next are mostly,"{'neg': 0.185, 'neu': 0.757, 'pos': 0.057, 'compound': -0.7639}",-0.7639,NEGATIVE
4278,they say that they support but then insult me under my post with my c2 certificate 🙄🙄🙄🙄 my dear that is not support 🤨,"{'neg': 0.14, 'neu': 0.761, 'pos': 0.1, 'compound': -0.4744}",-0.4744,NEGATIVE
4279,i see the are talking about back section 28 they did not learn from the last time they did that are fundamentally incompatible with human decency and plus what is wrong with you they hate you too they are you,"{'neg': 0.145, 'neu': 0.855, 'pos': 0.0, 'compound': -0.7783}",-0.7783,NEGATIVE
4280,but if hamza abbassi few more do not have any i somewhere that was in s regime,"{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.5719}",0.5719,POSITIVE
4281,friendly stuff watch movie or some,"{'neg': 0.0, 'neu': 0.789, 'pos': 0.211, 'compound': 0.4939}",0.4939,POSITIVE
4282,fox is so,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
4283,stigma from gay plague in 1980s to can world do better now,"{'neg': 0.0, 'neu': 0.766, 'pos': 0.234, 'compound': 0.5994}",0.5994,POSITIVE
4284,- cemetery by fiction - an island by,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
4285,because this year is the 50th anniversary of pride and some in the commonwealth still outlaw people that is the connection,"{'neg': 0.0, 'neu': 0.897, 'pos': 0.103, 'compound': 0.34}",0.34,POSITIVE
